,school,applicant_number,sat_low,sat_upper,accept_rate,rate
183,Virginia Military Institute,1515,1090.0,1270.0,59.5,ok
184,Purdue University—​West Lafayette,54912,1190.0,1440.0,59.8,ok
185,Temple University,35599,1120.0,1320.0,60.0,ok
186,Rutgers The State University of New Jersey—​New Brunswick,41348,1190.0,1410.0,60.1,ok
187,Illinois Institute of Technology,5049,1190.0,1400.0,60.2,ok
188,Yeshiva University,1508,1140.0,1400.0,60.3,ok
189,Illinois Wesleyan University,3719,1120.0,1320.0,60.8,ok
190,Furman University,5469,1230.0,1410.0,61.1,ok
191,University at Buffalo—​SUNY,29900,1160.0,1340.0,61.1,ok
192,Concordia College—​Moorhead,4160,1080.0,1368.0,61.2,ok
193,SUNY College of Environmental Science and Forestry,2018,1120.0,1310.0,61.4,ok
194,University of Portland,14505,1160.0,1330.0,61.5,ok
195,Cornell College,3118,1100.0,1345.0,61.8,ok
196,Muhlenberg College,4146,1170.0,1360.0,61.8,ok
197,Gonzaga University,9279,1210.0,1358.0,61.9,ok
198,Beloit College,3657,1080.0,1380.0,62.0,ok
199,Lawrence University,3463,1200.0,1430.0,62.1,ok
200,University of Utah,24404,1142.5,1380.0,62.1,ok
201,Allegheny College,5208,1170.0,1360.0,62.2,ok
202,University of Delaware,27691,1170.0,1350.0,62.4,ok
203,Westmont College,2937,1110.0,1370.0,62.4,ok
204,Luther College,4422,1050.0,1310.0,62.6,ok
205,Rutgers The State University of New Jersey—​Newark,13259,1020.0,1190.0,62.7,ok
206,Earlham College,2070,1100.0,1370.0,63.4,ok
207,Augustana College,6211,1070.0,1280.0,63.6,ok
208,Wofford College,3522,1180.0,1350.0,63.6,ok
209,New Jersey Institute of Technology,8123,1190.0,1380.0,63.7,ok
210,University of Massachusetts—​Amherst,42157,1190.0,1390.0,63.8,ok
211,Wabash College,1307,1120.0,1320.0,64.2,ok
212,DePauw University,4935,1130.0,1360.0,64.4,ok
213,Drury University,1664,1045.0,1225.0,64.4,ok
214,St. John Fisher College,4720,1070.0,1260.0,64.5,ok
215,University of San Francisco,18411,1130.0,1330.0,64.6,ok
216,Bard College,5141,1248.0,1420.0,64.6,ok
217,Goshen College,1278,1010.0,1210.0,64.7,ok
218,Agnes Scott College,1751,1130.0,1340.0,64.8,ok
219,Virginia Polytechnic Institute and State University,31936,1180.0,1390.0,64.8,ok
220,University of Houston,25393,1140.0,1310.0,65.0,ok
221,University of North Carolina—​Charlotte,21867,1120.0,1290.0,65.0,ok
222,Truman State University,4568,1080.0,1358.0,65.3,ok
223,University of North Carolina—​Wilmington,13287,1170.0,1320.0,65.5,ok
224,SUNY—​Geneseo,10433,1120.0,1310.0,65.5,ok
225,Embry-​Riddle Aeronautical University,6017,1110.0,1320.0,65.5,ok
226,University of the Pacific,13096,1130.0,1360.0,65.6,ok
227,Rochester Institute of Technology,18948,1200.0,1400.0,66.0,ok
228,Berry College,3970,1110.0,1310.0,66.1,ok
229,Mississippi State University,18269,1070.0,1280.0,66.3,ok
230,Sewanee—​University of the South,3545,1150.0,1340.0,66.7,ok
231,Hanover College,7795,1078.0,1300.0,66.9,ok
232,Coe College,7795,1078.0,1300.0,66.9,ok
233,Randolph-​Macon College,2907,1020.0,1240.0,67.1,ok
234,Loyola University Chicago,25583,1140.0,1320.0,67.2,ok
235,University of Vermont,19233,1180.0,1360.0,67.3,ok
236,San Francisco State University,34629,940.0,1150.0,67.3,ok
237,Brigham Young University—​Provo,10500,1210.0,1420.0,67.5,ok
238,Drake University,6944,1100.0,1370.0,67.6,ok
239,Stonehill College,6961,1120.0,1290.0,67.7,ok
240,Elmhurst College,4175,990.0,1210.0,67.8,ok
241,Taylor University,2341,1080.0,1310.0,68.1,ok
242,DePaul University,26895,1070.0,1290.0,68.2,ok
243,Knox College,3397,1090.0,1350.0,68.3,ok
244,Hofstra University,24425,1160.0,1340.0,68.5,ok
245,Ithaca College,15278,1160.0,1338.0,68.5,ok
246,California State University--San Bernardino,16307,910.0,1090.0,68.6,ok
247,University of South Carolina,31268,1180.0,1370.0,68.6,ok
248,Albion College,4043,990.0,1200.0,68.8,ok
249,Presbyterian College (SC),2462,1010.0,1210.0,68.8,ok
250,Texas Tech University,25384,1070.0,1260.0,68.9,ok
251,Ohio Wesleyan University,4705,1060.0,1295.0,69.0,ok
252,Ripon College,2619,1000.0,1210.0,69.0,ok
